column,count,null_count,bool_count,numeric_count,max,mean,min,stddev,nunique_numbers,nunique_numbers_lower,nunique_numbers_upper,inferred_dtype,dtype_fraction,type_unknown_count,type_null_count,type_fractional_count,type_integral_count,type_boolean_count,type_string_count,nunique_str,nunique_str_lower,ununique_str_upper,quantile_0.0000,quantile_0.0100,quantile_0.0500,quantile_0.2500,quantile_0.5000,quantile_0.7500,quantile_0.9500,quantile_0.9900,quantile_1.0000
initial_list_status,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,99999.0,2.0,2.0,2.0,,,,,,,,,
hardship_start_date,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.992189921899219,0.0,99218.0,0.0,0.0,0.0,781.0,25.0,25.0,25.0,,,,,,,,,
mths_since_recent_bc_dlq,99999.0,0.0,0.0,25427.0,189.0,39.38565304597475,0.0,23.09574009086891,123.0,123.0,123.0,1.0,0.7457274572745728,0.0,74572.0,25427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,20.0,37.0,59.0,77.0,84.0,189.0
member_id,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
purpose,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,99999.0,12.0,12.0,12.0,,,,,,,,,
num_op_rev_tl,99999.0,0.0,0.0,99999.0,66.0,8.381063810638107,0.0,4.70485010777273,52.0,52.0,52.0,2.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,7.0,11.0,18.0,25.0,66.0
verification_status_joint,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.994979949799498,0.0,99497.0,0.0,0.0,0.0,502.0,1.0,1.0,1.0,,,,,,,,,
collections_12_mths_ex_med,99999.0,0.0,0.0,99999.0,7.0,0.02187021870218702,0.0,0.1623952762905948,7.0,7.0,7.0,2.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0
sec_app_fico_range_high,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
total_bc_limit,99999.0,0.0,0.0,99999.0,317000.0,22509.737497374972,0.0,22337.65144713102,2759.0,2759.0,2759.0,2.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,2250.0,7900.0,15600.0,29500.0,67200.0,100100.0,317000.0
inq_last_12m,99999.0,0.0,0.0,21372.0,32.0,2.234091334456298,0.0,2.4802418996648896,28.0,28.0,28.0,1.0,0.7862778627786278,0.0,78627.0,21372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,11.0,32.0
bc_open_to_buy,99999.0,0.0,0.0,99017.0,263953.0,10148.091438843834,0.0,15343.599577716908,29606.299524468086,29175.906701263633,30042.972864701296,2.0,0.9901799017990179,0.0,982.0,99017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,1404.0,4696.0,12190.0,38130.0,71377.0,263953.0
sub_grade,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,99999.0,35.0,35.0,35.0,,,,,,,,,
chargeoff_within_12_mths,99999.0,0.0,0.0,99999.0,7.0,0.01052010520105201,0.0,0.1175993413475885,8.0,8.0,8.0,2.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0
settlement_term,99999.0,0.0,0.0,2949.0,65.0,13.609698202780603,0.0,7.422959419066635,30.0,30.0,30.0,1.0,0.9705097050970509,0.0,97050.0,2949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,14.0,18.0,24.0,24.0,65.0
open_il_24m,99999.0,0.0,0.0,21372.0,19.0,1.674574209245742,0.0,1.6887251954651232,17.0,17.0,17.0,1.0,0.7862778627786278,0.0,78627.0,21372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,7.0,19.0
revol_bal_joint,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
acc_now_delinq,99999.0,0.0,0.0,99999.0,4.0,0.005920059200592006,0.0,0.08139462974451973,5.0,5.0,5.0,2.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
sec_app_num_rev_accts,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
pct_tl_nvr_dlq,99999.0,0.0,0.0,99999.0,100.0,93.85926159262111,11.1,8.982105029611665,455.0,455.0,455.0,2.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,11.100000381469727,61.5,75.0,90.9000015258789,97.4000015258789,100.0,100.0,100.0,100.0
open_act_il,99999.0,0.0,0.0,21372.0,40.0,2.928832116788321,0.0,3.089987193016829,35.0,35.0,35.0,1.0,0.7862778627786278,0.0,78627.0,21372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,9.0,14.0,40.0
hardship_dpd,99999.0,0.0,0.0,781.0,30.0,14.26248399487836,0.0,9.720266350487673,31.0,31.0,31.0,1.0,0.992189921899219,0.0,99218.0,781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,23.0,28.0,29.0,30.0
percent_bc_gt_75,99999.0,0.0,0.0,98941.0,100.0,46.03065867537283,0.0,36.41750217026902,148.0,148.0,148.0,2.0,0.9894198941989419,0.0,1058.0,98941.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,50.0,75.0,100.0,100.0,100.0
zip_code,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,99999.0,880.0,880.0,880.0,,,,,,,,,
sec_app_collections_12_mths_ex_med,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
num_il_tl,99999.0,0.0,0.0,99999.0,104.0,8.69669696696967,0.0,7.506321008802111,85.0,85.0,85.0,2.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,11.0,24.0,35.0,104.0
hardship_flag,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,99999.0,2.0,2.0,2.0,,,,,,,,,
